IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
47.236.202.91	2096	TRUE	SIN	Asia Pacific	Singapore	217 ms	5589 kB/s
8.219.100.168	2053	TRUE	SIN	Asia Pacific	Singapore	213 ms	5584 kB/s
47.245.102.52	8443	TRUE	SIN	Asia Pacific	Singapore	252 ms	5575 kB/s
8.219.174.213	2096	TRUE	SIN	Asia Pacific	Singapore	212 ms	5569 kB/s
8.219.114.201	8443	TRUE	SIN	Asia Pacific	Singapore	236 ms	5544 kB/s
8.218.204.128	8443	TRUE	HKG	Asia Pacific	Hong Kong	55 ms	5537 kB/s
8.210.39.96	2053	TRUE	HKG	Asia Pacific	Hong Kong	91 ms	5535 kB/s
8.219.132.64	2083	TRUE	SIN	Asia Pacific	Singapore	214 ms	5511 kB/s
47.242.234.127	2083	TRUE	HKG	Asia Pacific	Hong Kong	80 ms	5500 kB/s
8.219.97.50	2096	TRUE	SIN	Asia Pacific	Singapore	231 ms	5492 kB/s
8.219.229.190	8443	TRUE	SIN	Asia Pacific	Singapore	247 ms	5490 kB/s
8.219.201.245	8443	TRUE	SIN	Asia Pacific	Singapore	220 ms	5487 kB/s
8.222.137.192	443	TRUE	SIN	Asia Pacific	Singapore	206 ms	5487 kB/s
47.76.178.146	8443	TRUE	HKG	Asia Pacific	Hong Kong	73 ms	5486 kB/s
8.222.137.192	2053	TRUE	SIN	Asia Pacific	Singapore	216 ms	5483 kB/s
8.222.184.198	2083	TRUE	SIN	Asia Pacific	Singapore	237 ms	5470 kB/s
8.222.146.222	2087	TRUE	SIN	Asia Pacific	Singapore	226 ms	5466 kB/s
8.222.249.190	2053	TRUE	SIN	Asia Pacific	Singapore	222 ms	5461 kB/s
8.218.122.55	2096	TRUE	HKG	Asia Pacific	Hong Kong	75 ms	5455 kB/s
8.222.208.38	443	TRUE	SIN	Asia Pacific	Singapore	207 ms	5450 kB/s
47.236.202.91	2087	TRUE	SIN	Asia Pacific	Singapore	217 ms	5436 kB/s
47.245.114.163	2053	TRUE	SIN	Asia Pacific	Singapore	254 ms	5404 kB/s
8.219.199.220	2087	TRUE	SIN	Asia Pacific	Singapore	214 ms	5401 kB/s
8.210.245.224	2083	TRUE	HKG	Asia Pacific	Hong Kong	68 ms	5394 kB/s
47.236.202.91	2053	TRUE	SIN	Asia Pacific	Singapore	240 ms	5370 kB/s
47.243.86.79	2096	TRUE	HKG	Asia Pacific	Hong Kong	83 ms	5368 kB/s
47.243.139.85	2083	TRUE	HKG	Asia Pacific	Hong Kong	75 ms	5349 kB/s
8.219.191.40	2096	TRUE	SIN	Asia Pacific	Singapore	241 ms	5343 kB/s
8.222.183.242	8443	TRUE	SIN	Asia Pacific	Singapore	214 ms	5317 kB/s
47.243.60.150	2096	TRUE	HKG	Asia Pacific	Hong Kong	129 ms	5311 kB/s
8.219.194.170	2087	TRUE	SIN	Asia Pacific	Singapore	210 ms	5307 kB/s
8.222.181.117	2053	TRUE	SIN	Asia Pacific	Singapore	223 ms	5304 kB/s
47.236.253.41	2096	TRUE	SIN	Asia Pacific	Singapore	229 ms	5294 kB/s
8.219.139.13	2083	TRUE	SIN	Asia Pacific	Singapore	240 ms	5291 kB/s
8.222.134.170	2087	TRUE	SIN	Asia Pacific	Singapore	226 ms	5279 kB/s
47.236.158.158	2096	TRUE	SIN	Asia Pacific	Singapore	223 ms	5272 kB/s
47.236.10.182	2083	TRUE	SIN	Asia Pacific	Singapore	239 ms	5247 kB/s
8.219.142.191	8443	TRUE	SIN	Asia Pacific	Singapore	235 ms	5244 kB/s
47.243.86.79	8443	TRUE	HKG	Asia Pacific	Hong Kong	94 ms	5237 kB/s
8.218.142.253	2087	TRUE	HKG	Asia Pacific	Hong Kong	63 ms	5233 kB/s
47.242.234.127	2096	TRUE	HKG	Asia Pacific	Hong Kong	104 ms	5223 kB/s
8.219.111.175	2096	TRUE	SIN	Asia Pacific	Singapore	242 ms	5208 kB/s
47.236.253.41	2083	TRUE	SIN	Asia Pacific	Singapore	228 ms	5202 kB/s
8.222.156.242	2096	TRUE	SIN	Asia Pacific	Singapore	273 ms	5197 kB/s
47.243.234.9	2096	TRUE	HKG	Asia Pacific	Hong Kong	112 ms	5196 kB/s
8.219.229.190	2083	TRUE	SIN	Asia Pacific	Singapore	210 ms	5176 kB/s
8.210.34.188	2083	TRUE	HKG	Asia Pacific	Hong Kong	55 ms	5165 kB/s
47.236.10.182	2087	TRUE	SIN	Asia Pacific	Singapore	242 ms	5164 kB/s
47.245.84.124	2096	TRUE	SIN	Asia Pacific	Singapore	222 ms	5125 kB/s
8.222.179.231	2096	TRUE	SIN	Asia Pacific	Singapore	209 ms	5113 kB/s
47.245.86.230	2083	TRUE	SIN	Asia Pacific	Singapore	261 ms	5104 kB/s
8.210.34.188	2096	TRUE	HKG	Asia Pacific	Hong Kong	60 ms	5085 kB/s
47.243.27.217	8443	TRUE	HKG	Asia Pacific	Hong Kong	112 ms	5080 kB/s
47.236.93.176	2053	TRUE	SIN	Asia Pacific	Singapore	216 ms	5076 kB/s
47.236.125.62	2053	TRUE	NRT	Asia Pacific	Tokyo	317 ms	5074 kB/s
8.222.181.117	2096	TRUE	SIN	Asia Pacific	Singapore	226 ms	5052 kB/s
8.219.60.54	2053	TRUE	SIN	Asia Pacific	Singapore	227 ms	5045 kB/s
47.76.33.40	2053	TRUE	HKG	Asia Pacific	Hong Kong	83 ms	5043 kB/s
47.236.202.91	8443	TRUE	SIN	Asia Pacific	Singapore	217 ms	5036 kB/s
8.219.229.190	2096	TRUE	SIN	Asia Pacific	Singapore	222 ms	5023 kB/s
8.219.200.145	2096	TRUE	SIN	Asia Pacific	Singapore	222 ms	5011 kB/s
47.243.5.154	2083	TRUE	HKG	Asia Pacific	Hong Kong	141 ms	5007 kB/s
8.219.111.175	8443	TRUE	SIN	Asia Pacific	Singapore	229 ms	5006 kB/s
47.237.86.185	2096	TRUE	SIN	Asia Pacific	Singapore	235 ms	4981 kB/s
47.243.206.150	8443	TRUE	HKG	Asia Pacific	Hong Kong	96 ms	4980 kB/s
8.219.161.129	2087	TRUE	SIN	Asia Pacific	Singapore	204 ms	4955 kB/s
8.219.248.47	8443	TRUE	SIN	Asia Pacific	Singapore	237 ms	4949 kB/s
47.242.36.78	2087	TRUE	HKG	Asia Pacific	Hong Kong	81 ms	4926 kB/s
8.210.174.156	8443	TRUE	HKG	Asia Pacific	Hong Kong	70 ms	4906 kB/s
47.236.167.231	2083	TRUE	SIN	Asia Pacific	Singapore	213 ms	4905 kB/s
47.237.82.15	2087	TRUE	SIN	Asia Pacific	Singapore	215 ms	4901 kB/s
8.219.106.156	8443	TRUE	SIN	Asia Pacific	Singapore	212 ms	4898 kB/s
8.222.191.138	2053	TRUE	SIN	Asia Pacific	Singapore	209 ms	4885 kB/s
47.76.77.103	2096	TRUE	HKG	Asia Pacific	Hong Kong	98 ms	4881 kB/s
8.210.192.93	2083	TRUE	HKG	Asia Pacific	Hong Kong	65 ms	4866 kB/s
47.243.183.127	2087	TRUE	HKG	Asia Pacific	Hong Kong	98 ms	4858 kB/s
8.219.117.198	2053	TRUE	SIN	Asia Pacific	Singapore	220 ms	4828 kB/s
8.222.164.209	2083	TRUE	SIN	Asia Pacific	Singapore	219 ms	4826 kB/s
47.237.84.173	2083	TRUE	SIN	Asia Pacific	Singapore	212 ms	4818 kB/s
47.236.165.25	2083	TRUE	SIN	Asia Pacific	Singapore	218 ms	4814 kB/s
47.236.237.90	8443	TRUE	SIN	Asia Pacific	Singapore	216 ms	4795 kB/s
47.236.174.206	2087	TRUE	SIN	Asia Pacific	Singapore	215 ms	4794 kB/s
8.219.99.169	2083	TRUE	SIN	Asia Pacific	Singapore	215 ms	4793 kB/s
47.236.93.176	8443	TRUE	SIN	Asia Pacific	Singapore	217 ms	4776 kB/s
47.236.80.110	2096	TRUE	SIN	Asia Pacific	Singapore	209 ms	4761 kB/s
8.222.183.242	2087	TRUE	SIN	Asia Pacific	Singapore	221 ms	4734 kB/s
8.219.6.150	8443	TRUE	SIN	Asia Pacific	Singapore	221 ms	4719 kB/s
47.242.171.94	8443	TRUE	HKG	Asia Pacific	Hong Kong	84 ms	4699 kB/s
47.245.126.151	2053	TRUE	SIN	Asia Pacific	Singapore	253 ms	4678 kB/s
47.236.10.182	8443	TRUE	SIN	Asia Pacific	Singapore	243 ms	4676 kB/s
47.245.118.70	2053	TRUE	SIN	Asia Pacific	Singapore	234 ms	4668 kB/s
47.245.105.224	2087	TRUE	SIN	Asia Pacific	Singapore	234 ms	4665 kB/s
8.210.192.93	2096	TRUE	HKG	Asia Pacific	Hong Kong	92 ms	4652 kB/s
47.243.86.79	2083	TRUE	HKG	Asia Pacific	Hong Kong	94 ms	4641 kB/s
8.219.147.58	2087	TRUE	SIN	Asia Pacific	Singapore	232 ms	4614 kB/s
8.222.183.242	2096	TRUE	SIN	Asia Pacific	Singapore	233 ms	4610 kB/s
8.210.192.93	2087	TRUE	HKG	Asia Pacific	Hong Kong	65 ms	4592 kB/s
8.222.156.242	2087	TRUE	SIN	Asia Pacific	Singapore	231 ms	4591 kB/s
8.219.98.13	2087	TRUE	SIN	Asia Pacific	Singapore	215 ms	4585 kB/s
8.222.193.65	2096	TRUE	SIN	Asia Pacific	Singapore	211 ms	4580 kB/s
47.245.118.70	2087	TRUE	SIN	Asia Pacific	Singapore	265 ms	4565 kB/s
8.219.60.54	2083	TRUE	SIN	Asia Pacific	Singapore	219 ms	4556 kB/s
8.217.250.222	8443	TRUE	HKG	Asia Pacific	Hong Kong	56 ms	4530 kB/s
8.219.229.190	2053	TRUE	SIN	Asia Pacific	Singapore	243 ms	4507 kB/s
8.219.194.170	8443	TRUE	SIN	Asia Pacific	Singapore	211 ms	4489 kB/s
8.219.153.237	2083	TRUE	NRT	Asia Pacific	Tokyo	284 ms	4483 kB/s
47.242.176.237	2083	TRUE	HKG	Asia Pacific	Hong Kong	127 ms	4482 kB/s
8.217.250.222	2087	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	4473 kB/s
47.243.234.9	2053	TRUE	HKG	Asia Pacific	Hong Kong	80 ms	4456 kB/s
47.236.180.51	8443	TRUE	SIN	Asia Pacific	Singapore	217 ms	4441 kB/s
47.236.167.231	8443	TRUE	SIN	Asia Pacific	Singapore	246 ms	4405 kB/s
8.219.191.40	2053	TRUE	SIN	Asia Pacific	Singapore	251 ms	4393 kB/s
47.236.93.176	2087	TRUE	SIN	Asia Pacific	Singapore	237 ms	4392 kB/s
8.222.167.147	2083	TRUE	SIN	Asia Pacific	Singapore	213 ms	4388 kB/s
8.219.66.156	2087	TRUE	NRT	Asia Pacific	Tokyo	285 ms	4362 kB/s
8.222.193.65	2087	TRUE	SIN	Asia Pacific	Singapore	210 ms	4335 kB/s
47.245.86.230	2053	TRUE	SIN	Asia Pacific	Singapore	229 ms	4319 kB/s
8.219.117.198	2096	TRUE	SIN	Asia Pacific	Singapore	220 ms	4308 kB/s
8.217.164.10	2096	TRUE	HKG	Asia Pacific	Hong Kong	75 ms	4280 kB/s
8.219.153.237	2096	TRUE	NRT	Asia Pacific	Tokyo	282 ms	4272 kB/s
47.242.79.71	2083	TRUE	HKG	Asia Pacific	Hong Kong	107 ms	4270 kB/s
8.222.193.65	2053	TRUE	SIN	Asia Pacific	Singapore	212 ms	4255 kB/s
8.219.229.190	2087	TRUE	SIN	Asia Pacific	Singapore	214 ms	4219 kB/s
47.245.102.52	2087	TRUE	SIN	Asia Pacific	Singapore	220 ms	4216 kB/s
8.222.208.38	2053	TRUE	SIN	Asia Pacific	Singapore	221 ms	4210 kB/s
47.237.100.206	2096	TRUE	SIN	Asia Pacific	Singapore	212 ms	4208 kB/s
47.243.74.220	2087	TRUE	HKG	Asia Pacific	Hong Kong	129 ms	4207 kB/s
47.236.158.158	2083	TRUE	SIN	Asia Pacific	Singapore	222 ms	4198 kB/s
8.219.1.92	2053	TRUE	SIN	Asia Pacific	Singapore	243 ms	4181 kB/s
8.219.98.13	2083	TRUE	SIN	Asia Pacific	Singapore	219 ms	4165 kB/s
8.219.98.13	8443	TRUE	SIN	Asia Pacific	Singapore	227 ms	4121 kB/s
47.237.95.156	2096	TRUE	SIN	Asia Pacific	Singapore	251 ms	4119 kB/s
8.222.165.117	2087	TRUE	SIN	Asia Pacific	Singapore	216 ms	4098 kB/s
8.210.146.108	2096	TRUE	HKG	Asia Pacific	Hong Kong	75 ms	4095 kB/s
8.210.174.156	2087	TRUE	HKG	Asia Pacific	Hong Kong	84 ms	4095 kB/s
8.222.191.138	2087	TRUE	SIN	Asia Pacific	Singapore	215 ms	4092 kB/s
8.219.201.245	2087	TRUE	SIN	Asia Pacific	Singapore	216 ms	4082 kB/s
8.219.153.237	8443	TRUE	NRT	Asia Pacific	Tokyo	295 ms	4077 kB/s
8.219.114.201	2083	TRUE	SIN	Asia Pacific	Singapore	239 ms	4071 kB/s
47.236.174.206	2053	TRUE	SIN	Asia Pacific	Singapore	220 ms	4058 kB/s
47.236.237.90	2087	TRUE	SIN	Asia Pacific	Singapore	233 ms	4056 kB/s
47.237.0.31	2087	TRUE	SIN	Asia Pacific	Singapore	224 ms	4049 kB/s
47.76.32.108	2087	TRUE	HKG	Asia Pacific	Hong Kong	63 ms	4047 kB/s
8.222.137.192	2083	TRUE	SIN	Asia Pacific	Singapore	212 ms	4047 kB/s
8.222.164.209	2053	TRUE	SIN	Asia Pacific	Singapore	254 ms	4044 kB/s
8.219.60.54	2096	TRUE	SIN	Asia Pacific	Singapore	225 ms	4004 kB/s
47.236.253.41	8443	TRUE	SIN	Asia Pacific	Singapore	219 ms	4002 kB/s
8.217.164.10	8443	TRUE	HKG	Asia Pacific	Hong Kong	65 ms	4002 kB/s
8.219.161.129	2096	TRUE	SIN	Asia Pacific	Singapore	218 ms	3999 kB/s
47.236.10.182	2096	TRUE	SIN	Asia Pacific	Singapore	227 ms	3970 kB/s
8.217.164.10	2087	TRUE	HKG	Asia Pacific	Hong Kong	77 ms	3961 kB/s
47.245.105.224	8443	TRUE	SIN	Asia Pacific	Singapore	226 ms	3925 kB/s
8.210.3.24	8443	TRUE	HKG	Asia Pacific	Hong Kong	69 ms	3912 kB/s
47.236.125.62	2083	TRUE	NRT	Asia Pacific	Tokyo	283 ms	3888 kB/s
47.243.5.154	2053	TRUE	HKG	Asia Pacific	Hong Kong	146 ms	3886 kB/s
47.236.254.120	2083	TRUE	SIN	Asia Pacific	Singapore	213 ms	3885 kB/s
8.222.162.45	2087	TRUE	SIN	Asia Pacific	Singapore	238 ms	3853 kB/s
47.238.164.202	443	TRUE	HKG	Asia Pacific	Hong Kong	70 ms	3852 kB/s
47.243.183.127	8443	TRUE	HKG	Asia Pacific	Hong Kong	138 ms	3852 kB/s
47.243.139.85	2087	TRUE	HKG	Asia Pacific	Hong Kong	72 ms	3851 kB/s
8.219.201.245	2053	TRUE	SIN	Asia Pacific	Singapore	226 ms	3849 kB/s
47.243.183.127	2083	TRUE	HKG	Asia Pacific	Hong Kong	140 ms	3849 kB/s
47.236.180.51	2053	TRUE	SIN	Asia Pacific	Singapore	212 ms	3839 kB/s
47.237.10.1	2096	TRUE	SIN	Asia Pacific	Singapore	225 ms	3817 kB/s
8.222.193.65	443	TRUE	SIN	Asia Pacific	Singapore	207 ms	3814 kB/s
47.243.74.220	2096	TRUE	HKG	Asia Pacific	Hong Kong	133 ms	3801 kB/s
8.219.4.122	2083	TRUE	SIN	Asia Pacific	Singapore	230 ms	3769 kB/s
47.236.158.158	2087	TRUE	SIN	Asia Pacific	Singapore	221 ms	3743 kB/s
47.237.81.112	2096	TRUE	SIN	Asia Pacific	Singapore	213 ms	3730 kB/s
47.243.169.63	2096	TRUE	HKG	Asia Pacific	Hong Kong	88 ms	3670 kB/s
8.219.174.213	2087	TRUE	SIN	Asia Pacific	Singapore	211 ms	3669 kB/s
47.236.180.51	2087	TRUE	SIN	Asia Pacific	Singapore	218 ms	3662 kB/s
8.222.150.197	2083	TRUE	SIN	Asia Pacific	Singapore	213 ms	3657 kB/s
8.219.114.201	2053	TRUE	SIN	Asia Pacific	Singapore	225 ms	3657 kB/s
47.242.202.230	2083	TRUE	HKG	Asia Pacific	Hong Kong	89 ms	3647 kB/s
47.245.84.124	2083	TRUE	SIN	Asia Pacific	Singapore	248 ms	3647 kB/s
8.210.3.24	2083	TRUE	HKG	Asia Pacific	Hong Kong	85 ms	3634 kB/s
8.210.3.24	2096	TRUE	HKG	Asia Pacific	Hong Kong	70 ms	3630 kB/s
47.243.203.119	8443	TRUE	HKG	Asia Pacific	Hong Kong	125 ms	3630 kB/s
47.242.174.27	2087	TRUE	HKG	Asia Pacific	Hong Kong	131 ms	3623 kB/s
8.210.34.188	8443	TRUE	HKG	Asia Pacific	Hong Kong	66 ms	3615 kB/s
47.242.171.94	2083	TRUE	HKG	Asia Pacific	Hong Kong	88 ms	3603 kB/s
8.218.204.128	2096	TRUE	HKG	Asia Pacific	Hong Kong	57 ms	3603 kB/s
47.243.60.150	2087	TRUE	HKG	Asia Pacific	Hong Kong	134 ms	3594 kB/s
8.210.34.188	2053	TRUE	HKG	Asia Pacific	Hong Kong	58 ms	3584 kB/s
8.222.137.192	2087	TRUE	SIN	Asia Pacific	Singapore	211 ms	3579 kB/s
47.242.36.78	2083	TRUE	HKG	Asia Pacific	Hong Kong	71 ms	3545 kB/s
8.219.153.237	2053	TRUE	NRT	Asia Pacific	Tokyo	288 ms	3536 kB/s
47.245.126.151	2083	TRUE	SIN	Asia Pacific	Singapore	230 ms	3513 kB/s
8.219.66.156	8443	TRUE	NRT	Asia Pacific	Tokyo	314 ms	3505 kB/s
47.237.11.182	2096	TRUE	SIN	Asia Pacific	Singapore	210 ms	3502 kB/s
47.236.158.158	2053	TRUE	SIN	Asia Pacific	Singapore	243 ms	3494 kB/s
8.210.245.224	8443	TRUE	HKG	Asia Pacific	Hong Kong	75 ms	3494 kB/s
8.210.175.109	8443	TRUE	HKG	Asia Pacific	Hong Kong	66 ms	3483 kB/s
8.219.66.156	2096	TRUE	NRT	Asia Pacific	Tokyo	323 ms	3477 kB/s
47.245.114.163	2096	TRUE	SIN	Asia Pacific	Singapore	237 ms	3471 kB/s
47.243.91.58	2096	TRUE	HKG	Asia Pacific	Hong Kong	71 ms	3455 kB/s
8.222.193.65	2083	TRUE	SIN	Asia Pacific	Singapore	216 ms	3452 kB/s
8.222.137.192	8443	TRUE	SIN	Asia Pacific	Singapore	218 ms	3449 kB/s
47.243.27.217	2096	TRUE	HKG	Asia Pacific	Hong Kong	69 ms	3411 kB/s
47.237.14.220	2087	TRUE	SIN	Asia Pacific	Singapore	217 ms	3409 kB/s
47.237.92.26	2087	TRUE	SIN	Asia Pacific	Singapore	213 ms	3392 kB/s
8.219.177.205	2096	TRUE	SIN	Asia Pacific	Singapore	238 ms	3367 kB/s
47.236.174.206	8443	TRUE	SIN	Asia Pacific	Singapore	232 ms	3356 kB/s
47.245.126.151	2087	TRUE	SIN	Asia Pacific	Singapore	229 ms	3324 kB/s
47.236.170.225	8443	TRUE	SIN	Asia Pacific	Singapore	218 ms	3279 kB/s
8.218.122.55	8443	TRUE	HKG	Asia Pacific	Hong Kong	76 ms	3272 kB/s
47.76.32.108	2053	TRUE	HKG	Asia Pacific	Hong Kong	69 ms	3270 kB/s
47.237.84.173	2096	TRUE	SIN	Asia Pacific	Singapore	209 ms	3266 kB/s
47.245.102.52	2053	TRUE	SIN	Asia Pacific	Singapore	225 ms	3243 kB/s
47.236.180.51	2083	TRUE	SIN	Asia Pacific	Singapore	221 ms	3215 kB/s
47.243.86.79	2053	TRUE	HKG	Asia Pacific	Hong Kong	91 ms	3214 kB/s
47.243.27.217	2083	TRUE	HKG	Asia Pacific	Hong Kong	109 ms	3202 kB/s
47.236.85.11	8443	TRUE	SIN	Asia Pacific	Singapore	208 ms	3172 kB/s
47.243.74.220	8443	TRUE	HKG	Asia Pacific	Hong Kong	101 ms	3117 kB/s
47.237.95.146	2096	TRUE	SIN	Asia Pacific	Singapore	214 ms	3106 kB/s
8.222.208.38	2087	TRUE	SIN	Asia Pacific	Singapore	227 ms	3097 kB/s
8.210.156.6	2083	TRUE	HKG	Asia Pacific	Hong Kong	63 ms	3068 kB/s
47.236.170.225	2053	TRUE	SIN	Asia Pacific	Singapore	226 ms	3058 kB/s
47.242.202.230	2053	TRUE	HKG	Asia Pacific	Hong Kong	97 ms	3038 kB/s
8.217.248.220	2096	TRUE	HKG	Asia Pacific	Hong Kong	95 ms	3012 kB/s
47.245.84.124	2087	TRUE	SIN	Asia Pacific	Singapore	218 ms	2994 kB/s
47.76.204.76	2053	TRUE	HKG	Asia Pacific	Hong Kong	60 ms	2943 kB/s
47.236.125.62	2087	TRUE	NRT	Asia Pacific	Tokyo	292 ms	2931 kB/s
47.245.102.52	2083	TRUE	SIN	Asia Pacific	Singapore	258 ms	2923 kB/s
8.222.208.38	2083	TRUE	SIN	Asia Pacific	Singapore	258 ms	2828 kB/s
47.243.169.63	2087	TRUE	HKG	Asia Pacific	Hong Kong	90 ms	2820 kB/s
8.222.193.65	8443	TRUE	SIN	Asia Pacific	Singapore	208 ms	2748 kB/s
47.242.176.237	2053	TRUE	HKG	Asia Pacific	Hong Kong	126 ms	2699 kB/s
47.76.94.15	2083	TRUE	HKG	Asia Pacific	Hong Kong	80 ms	2626 kB/s
47.76.77.103	8443	TRUE	HKG	Asia Pacific	Hong Kong	107 ms	2626 kB/s
47.237.95.13	2087	TRUE	SIN	Asia Pacific	Singapore	211 ms	2614 kB/s
47.236.125.62	8443	TRUE	NRT	Asia Pacific	Tokyo	293 ms	2607 kB/s
47.245.86.230	2087	TRUE	SIN	Asia Pacific	Singapore	282 ms	2572 kB/s
8.222.208.38	2096	TRUE	SIN	Asia Pacific	Singapore	235 ms	2478 kB/s
47.242.54.157	2087	TRUE	HKG	Asia Pacific	Hong Kong	64 ms	2462 kB/s
47.236.170.225	2096	TRUE	SIN	Asia Pacific	Singapore	210 ms	2444 kB/s
47.243.203.119	2083	TRUE	HKG	Asia Pacific	Hong Kong	100 ms	2426 kB/s
47.236.237.90	2053	TRUE	SIN	Asia Pacific	Singapore	241 ms	2258 kB/s
8.217.121.207	2087	TRUE	HKG	Asia Pacific	Hong Kong	66 ms	2159 kB/s
8.217.248.220	8443	TRUE	HKG	Asia Pacific	Hong Kong	71 ms	2134 kB/s
8.218.142.253	8443	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	2118 kB/s
47.242.155.183	2053	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	2063 kB/s
47.237.8.82	2053	TRUE	SIN	Asia Pacific	Singapore	262 ms	2022 kB/s
47.245.114.163	2087	TRUE	SIN	Asia Pacific	Singapore	235 ms	1942 kB/s
47.245.105.224	2053	TRUE	SIN	Asia Pacific	Singapore	230 ms	1884 kB/s
8.222.208.38	8443	TRUE	SIN	Asia Pacific	Singapore	246 ms	1849 kB/s
