IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
8.210.9.129	2053	TRUE	HKG	Asia Pacific	Hong Kong	71 ms	8216 kB/s
47.76.33.40	2096	TRUE	HKG	Asia Pacific	Hong Kong	62 ms	8197 kB/s
47.76.159.146	2087	TRUE	HKG	Asia Pacific	Hong Kong	72 ms	8195 kB/s
47.243.139.243	2053	TRUE	HKG	Asia Pacific	Hong Kong	93 ms	8168 kB/s
47.243.234.9	2083	TRUE	HKG	Asia Pacific	Hong Kong	129 ms	8155 kB/s
47.243.169.63	8443	TRUE	HKG	Asia Pacific	Hong Kong	123 ms	7958 kB/s
8.210.192.93	2053	TRUE	HKG	Asia Pacific	Hong Kong	65 ms	7940 kB/s
8.217.159.210	2087	TRUE	HKG	Asia Pacific	Hong Kong	99 ms	7932 kB/s
8.219.110.81	2053	TRUE	SIN	Asia Pacific	Singapore	219 ms	7913 kB/s
47.242.59.216	8443	TRUE	HKG	Asia Pacific	Hong Kong	67 ms	7659 kB/s
47.243.183.127	2096	TRUE	HKG	Asia Pacific	Hong Kong	118 ms	7650 kB/s
47.243.139.243	8443	TRUE	HKG	Asia Pacific	Hong Kong	89 ms	7644 kB/s
47.242.157.96	2083	TRUE	HKG	Asia Pacific	Hong Kong	60 ms	7620 kB/s
8.217.147.230	2087	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	7614 kB/s
47.242.17.250	2096	TRUE	HKG	Asia Pacific	Hong Kong	83 ms	7600 kB/s
8.219.106.156	443	TRUE	SIN	Asia Pacific	Singapore	221 ms	7586 kB/s
8.210.3.24	2053	TRUE	HKG	Asia Pacific	Hong Kong	68 ms	7569 kB/s
47.243.139.85	2053	TRUE	HKG	Asia Pacific	Hong Kong	105 ms	7564 kB/s
47.243.234.9	8443	TRUE	HKG	Asia Pacific	Hong Kong	95 ms	7556 kB/s
47.237.84.173	8443	TRUE	SIN	Asia Pacific	Singapore	218 ms	7552 kB/s
8.222.237.131	2083	TRUE	SIN	Asia Pacific	Singapore	218 ms	7506 kB/s
8.210.174.156	2053	TRUE	HKG	Asia Pacific	Hong Kong	66 ms	7502 kB/s
47.242.252.237	2096	TRUE	HKG	Asia Pacific	Hong Kong	102 ms	7491 kB/s
47.243.107.148	2083	TRUE	HKG	Asia Pacific	Hong Kong	148 ms	7452 kB/s
47.236.102.102	8443	TRUE	SIN	Asia Pacific	Singapore	210 ms	7426 kB/s
47.243.203.119	2053	TRUE	HKG	Asia Pacific	Hong Kong	102 ms	7408 kB/s
47.243.60.150	8443	TRUE	HKG	Asia Pacific	Hong Kong	102 ms	7407 kB/s
47.243.173.187	2096	TRUE	HKG	Asia Pacific	Hong Kong	102 ms	7392 kB/s
47.243.91.58	2087	TRUE	HKG	Asia Pacific	Hong Kong	76 ms	7273 kB/s
8.219.161.129	2083	TRUE	SIN	Asia Pacific	Singapore	226 ms	7268 kB/s
47.243.234.9	2087	TRUE	HKG	Asia Pacific	Hong Kong	80 ms	7241 kB/s
8.219.120.87	2083	TRUE	SIN	Asia Pacific	Singapore	230 ms	7218 kB/s
8.219.126.240	2083	TRUE	SIN	Asia Pacific	Singapore	229 ms	7202 kB/s
47.237.8.82	2083	TRUE	SIN	Asia Pacific	Singapore	212 ms	7172 kB/s
47.243.139.85	8443	TRUE	HKG	Asia Pacific	Hong Kong	85 ms	7162 kB/s
8.218.143.10	8443	TRUE	HKG	Asia Pacific	Hong Kong	75 ms	7131 kB/s
47.236.102.102	2083	TRUE	SIN	Asia Pacific	Singapore	212 ms	7125 kB/s
47.243.203.119	2087	TRUE	HKG	Asia Pacific	Hong Kong	95 ms	7109 kB/s
8.219.106.156	2096	TRUE	SIN	Asia Pacific	Singapore	213 ms	7080 kB/s
47.76.178.146	2053	TRUE	HKG	Asia Pacific	Hong Kong	59 ms	7010 kB/s
47.76.178.146	2087	TRUE	HKG	Asia Pacific	Hong Kong	65 ms	7000 kB/s
8.219.113.232	2053	TRUE	SIN	Asia Pacific	Singapore	233 ms	6987 kB/s
47.242.54.157	2096	TRUE	HKG	Asia Pacific	Hong Kong	75 ms	6961 kB/s
47.242.252.237	2053	TRUE	HKG	Asia Pacific	Hong Kong	82 ms	6959 kB/s
47.242.155.183	8443	TRUE	HKG	Asia Pacific	Hong Kong	60 ms	6946 kB/s
8.210.192.93	8443	TRUE	HKG	Asia Pacific	Hong Kong	85 ms	6920 kB/s
47.245.118.70	2096	TRUE	SIN	Asia Pacific	Singapore	250 ms	6901 kB/s
8.219.111.175	2087	TRUE	SIN	Asia Pacific	Singapore	242 ms	6887 kB/s
8.219.200.145	2053	TRUE	SIN	Asia Pacific	Singapore	214 ms	6880 kB/s
47.242.252.237	2087	TRUE	HKG	Asia Pacific	Hong Kong	82 ms	6842 kB/s
47.243.107.148	2053	TRUE	HKG	Asia Pacific	Hong Kong	100 ms	6796 kB/s
8.219.114.201	443	TRUE	SIN	Asia Pacific	Singapore	215 ms	6795 kB/s
47.242.17.250	8443	TRUE	HKG	Asia Pacific	Hong Kong	91 ms	6781 kB/s
8.218.53.110	2083	TRUE	HKG	Asia Pacific	Hong Kong	60 ms	6770 kB/s
47.242.234.127	2087	TRUE	HKG	Asia Pacific	Hong Kong	78 ms	6694 kB/s
8.219.83.71	2096	TRUE	SIN	Asia Pacific	Singapore	240 ms	6668 kB/s
47.242.176.237	8443	TRUE	HKG	Asia Pacific	Hong Kong	83 ms	6655 kB/s
47.242.157.96	2087	TRUE	HKG	Asia Pacific	Hong Kong	72 ms	6651 kB/s
8.222.179.231	2083	TRUE	SIN	Asia Pacific	Singapore	209 ms	6642 kB/s
47.76.32.108	2083	TRUE	HKG	Asia Pacific	Hong Kong	86 ms	6613 kB/s
8.219.126.240	8443	TRUE	SIN	Asia Pacific	Singapore	252 ms	6581 kB/s
8.217.147.230	2083	TRUE	HKG	Asia Pacific	Hong Kong	63 ms	6578 kB/s
8.217.250.222	2096	TRUE	HKG	Asia Pacific	Hong Kong	62 ms	6549 kB/s
47.242.157.96	2053	TRUE	HKG	Asia Pacific	Hong Kong	69 ms	6532 kB/s
47.245.114.163	2083	TRUE	SIN	Asia Pacific	Singapore	238 ms	6489 kB/s
8.210.207.214	8443	TRUE	HKG	Asia Pacific	Hong Kong	59 ms	6479 kB/s
47.76.77.103	2087	TRUE	HKG	Asia Pacific	Hong Kong	99 ms	6462 kB/s
8.218.122.55	2083	TRUE	HKG	Asia Pacific	Hong Kong	55 ms	6450 kB/s
8.210.156.6	2087	TRUE	HKG	Asia Pacific	Hong Kong	59 ms	6431 kB/s
8.217.127.73	2096	TRUE	HKG	Asia Pacific	Hong Kong	60 ms	6427 kB/s
47.245.102.52	2096	TRUE	SIN	Asia Pacific	Singapore	229 ms	6427 kB/s
47.243.91.58	2053	TRUE	HKG	Asia Pacific	Hong Kong	78 ms	6424 kB/s
8.219.117.198	2083	TRUE	SIN	Asia Pacific	Singapore	212 ms	6420 kB/s
8.210.3.24	2087	TRUE	HKG	Asia Pacific	Hong Kong	66 ms	6414 kB/s
47.236.164.215	8443	TRUE	SIN	Asia Pacific	Singapore	223 ms	6392 kB/s
8.217.250.222	2053	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	6391 kB/s
47.242.36.78	2096	TRUE	HKG	Asia Pacific	Hong Kong	80 ms	6385 kB/s
47.243.173.187	8443	TRUE	HKG	Asia Pacific	Hong Kong	107 ms	6375 kB/s
8.219.4.122	2087	TRUE	SIN	Asia Pacific	Singapore	239 ms	6364 kB/s
8.210.245.224	2053	TRUE	HKG	Asia Pacific	Hong Kong	62 ms	6356 kB/s
8.219.110.81	2096	TRUE	SIN	Asia Pacific	Singapore	221 ms	6351 kB/s
8.219.194.170	2096	TRUE	SIN	Asia Pacific	Singapore	210 ms	6334 kB/s
47.236.167.231	2053	TRUE	SIN	Asia Pacific	Singapore	234 ms	6322 kB/s
8.219.200.145	2087	TRUE	SIN	Asia Pacific	Singapore	217 ms	6318 kB/s
47.236.167.231	2087	TRUE	SIN	Asia Pacific	Singapore	240 ms	6315 kB/s
8.219.142.191	2083	TRUE	SIN	Asia Pacific	Singapore	219 ms	6309 kB/s
8.217.127.73	2087	TRUE	HKG	Asia Pacific	Hong Kong	68 ms	6297 kB/s
8.222.156.242	8443	TRUE	SIN	Asia Pacific	Singapore	241 ms	6290 kB/s
47.237.8.82	2096	TRUE	SIN	Asia Pacific	Singapore	214 ms	6271 kB/s
8.219.177.205	2053	TRUE	SIN	Asia Pacific	Singapore	247 ms	6270 kB/s
8.219.114.201	2087	TRUE	SIN	Asia Pacific	Singapore	232 ms	6264 kB/s
8.219.0.162	2053	TRUE	SIN	Asia Pacific	Singapore	243 ms	6261 kB/s
8.219.209.14	2087	TRUE	SIN	Asia Pacific	Singapore	212 ms	6249 kB/s
8.219.78.188	2096	TRUE	SIN	Asia Pacific	Singapore	223 ms	6225 kB/s
47.236.180.51	2096	TRUE	SIN	Asia Pacific	Singapore	249 ms	6210 kB/s
8.219.142.191	2053	TRUE	SIN	Asia Pacific	Singapore	220 ms	6171 kB/s
8.219.191.110	2087	TRUE	SIN	Asia Pacific	Singapore	210 ms	6129 kB/s
47.243.206.150	2087	TRUE	HKG	Asia Pacific	Hong Kong	123 ms	6123 kB/s
47.243.183.127	2053	TRUE	HKG	Asia Pacific	Hong Kong	121 ms	6123 kB/s
47.236.174.206	2083	TRUE	SIN	Asia Pacific	Singapore	256 ms	6116 kB/s
47.242.171.94	2087	TRUE	HKG	Asia Pacific	Hong Kong	109 ms	6115 kB/s
47.236.253.41	2087	TRUE	SIN	Asia Pacific	Singapore	252 ms	6101 kB/s
8.219.174.142	2087	TRUE	SIN	Asia Pacific	Singapore	241 ms	6092 kB/s
8.219.199.220	8443	TRUE	SIN	Asia Pacific	Singapore	211 ms	6086 kB/s
8.219.191.40	2087	TRUE	SIN	Asia Pacific	Singapore	235 ms	6064 kB/s
8.222.134.170	2096	TRUE	SIN	Asia Pacific	Singapore	255 ms	6056 kB/s
47.243.42.219	8443	TRUE	HKG	Asia Pacific	Hong Kong	129 ms	6055 kB/s
8.219.111.175	2053	TRUE	SIN	Asia Pacific	Singapore	226 ms	6053 kB/s
8.219.11.158	2087	TRUE	SIN	Asia Pacific	Singapore	218 ms	6031 kB/s
47.236.180.24	2096	TRUE	SIN	Asia Pacific	Singapore	217 ms	6006 kB/s
47.236.254.120	2087	TRUE	SIN	Asia Pacific	Singapore	225 ms	5983 kB/s
8.210.21.65	2053	TRUE	HKG	Asia Pacific	Hong Kong	75 ms	5972 kB/s
47.243.42.219	2083	TRUE	HKG	Asia Pacific	Hong Kong	105 ms	5969 kB/s
47.242.79.71	8443	TRUE	HKG	Asia Pacific	Hong Kong	70 ms	5961 kB/s
8.217.248.220	2083	TRUE	HKG	Asia Pacific	Hong Kong	57 ms	5953 kB/s
8.222.181.117	2083	TRUE	SIN	Asia Pacific	Singapore	247 ms	5937 kB/s
8.219.193.202	2096	TRUE	SIN	Asia Pacific	Singapore	214 ms	5915 kB/s
8.219.139.13	2053	TRUE	SIN	Asia Pacific	Singapore	224 ms	5902 kB/s
8.219.117.198	8443	TRUE	SIN	Asia Pacific	Singapore	212 ms	5896 kB/s
47.245.118.70	2083	TRUE	SIN	Asia Pacific	Singapore	232 ms	5894 kB/s
8.210.21.65	2087	TRUE	HKG	Asia Pacific	Hong Kong	64 ms	5889 kB/s
8.219.147.58	8443	TRUE	SIN	Asia Pacific	Singapore	239 ms	5880 kB/s
8.219.49.65	2087	TRUE	SIN	Asia Pacific	Singapore	216 ms	5855 kB/s
8.222.164.209	2096	TRUE	SIN	Asia Pacific	Singapore	241 ms	5850 kB/s
47.243.206.150	2096	TRUE	HKG	Asia Pacific	Hong Kong	133 ms	5819 kB/s
8.219.60.54	2087	TRUE	SIN	Asia Pacific	Singapore	218 ms	5816 kB/s
8.217.127.73	8443	TRUE	HKG	Asia Pacific	Hong Kong	63 ms	5812 kB/s
8.219.209.14	2083	TRUE	SIN	Asia Pacific	Singapore	213 ms	5810 kB/s
8.219.177.205	8443	TRUE	SIN	Asia Pacific	Singapore	218 ms	5807 kB/s
8.222.244.192	2087	TRUE	SIN	Asia Pacific	Singapore	217 ms	5800 kB/s
47.243.107.148	2087	TRUE	HKG	Asia Pacific	Hong Kong	105 ms	5790 kB/s
47.245.84.124	8443	TRUE	SIN	Asia Pacific	Singapore	219 ms	5784 kB/s
